CLASSE,TEXTE_AUTRE
Application Mobile/Ch.net,problème application mobile
Service en agence,mieux communiquer avec le client
Service en agence,amélioration sur la qualité des personnelles
Service en agence,"être  en phase avec les banque concurrent ,problème des messages n'est pas à jour"
Service en agence,"problème des messages n'est pas à jour ,mieux communiquer avec le client"
Application Mobile/Ch.net,retard des notifications dans l'application - l'application pocket bank n'est pas à jour -
Attente en agence,manque des agents
Service en agence,souci de transfére de compte
Problèmes Gab,le client réclame que ses demandes ne sont pas traités au niveau d'autres agences appart son agence habituelle
Service en agence,informer le client  avant cluturé son compte
Service en agence,"manque de de personnel , sécurisé les compte bancaires"
Service en agence,mieux communiquer avec le client
Frais élevés des produits et services,retard de virement  bancaire
Application Mobile/Ch.net,application mobile
Service en agence,service en ligne
Attente en agence,servive long en agence /le client prend du temps pour lui rend son service
Application Mobile/Ch.net,probleme application mobile retard virement
Attente en agence,le client réclame qu'il doit être plusieurs des agents dans l'agence
Frais élevés des produits et services,ameliorer l offre credit time /probleme sevice en agence
"Améliorer l'offre crédit(taux,process,time)",surtout les crédié immobilier
Frais élevés des produits et services,prélèvement non justifiée
Application Mobile/Ch.net,l'application pocket bank n'est pas à jour
Problèmes Gab,augmentation a plafond de carte visa
Problèmes Gab,-ameliorer le plafond de carte guichet - ajouter l'option de achat par internet - alimentation des gab (gab vide)- rajout des gab
Frais élevés des produits et services,améliorer prélèvement non justifiée
Service en agence,probleme de service client en agence/et aussi probleme de systeme de reseau dans l agence
Service en agence,manque l'agence
Problèmes Gab,probleme manque de gab prend beaucoup de temps pour tirer son argent
Problèmes Gab,manque d'argent dans les gab en week and
Service en agence,ameliorer probleme le teau du credit
Service en agence,probléme d'envoyer pas les sms des opération a téléphone
Service en agence,amélioration sur la qualité des personnelles
Service en agence,problème de transfert
Service en agence,probléme d'envoyer pas les sms des opération a téléphone
Service en agence,problème de la retraite
Service en agence,mieux communiquer avec le client
Application Mobile/Ch.net,-application mobile -developper le service d'achats sans contact
Service en agence,les prélèvement élevés
Frais élevés des produits et services,augmentation a plafond d'envoie l'argent
Problèmes Gab,"augmentation a plafond d'envoie l'argent en gab , problème de système"
Service en agence,probléme d'envoyer pas les sms des opération a téléphone
Service en agence,-ameliorer la qualité d'accueil
Problèmes Gab,-
Service en agence,probleme les frais elevés /le client demande la facilter du credit
Frais élevés des produits et services,prélèvement non justifiée
Problèmes Gab,le client réclame qu'il doit être plusieurs des agents dans l'agence
Application Mobile/Ch.net,-probléme d'application mobile
Application Mobile/Ch.net,-developper l'application pocket bank
Frais élevés des produits et services,probleme les frais elevés
Application Mobile/Ch.net,ameliorer l application mobile
Service en agence,service au niveau de whatsapp
Problèmes Gab,améliorer l'gab
Frais élevés des produits et services,les frais des produits et services
Service en agence,la carte guiche internationale
Service en agence,le client réclame qu'il doit être plusieurs des agents dans l'agence
Application Mobile/Ch.net,crc
Frais élevés des produits et services,paiement de facture pas gratuite
Problèmes Gab,alimentationdes gab /probleme les frais  elevés
Problèmes Gab,augmentation a plafond d'envoie l'argent en gab
"Améliorer l'offre crédit(taux,process,time)",améliore service
Service en agence,manque les agence
Problèmes Gab,augmentation a plafond d'envoie l'argent en gab
Application Mobile/Ch.net,plus sécurité dans la application
Service en agence,-l
Frais élevés des produits et services,frais élevés
Problèmes Gab,augmentation a plafond d'envoie l'argent en gab (+2000dh)
Service en agence,probleme de transfert l'agence
Service en agence,retard affiche le salaire
Service en agence,procédure de la transfert l'agence
Service en agence,manque les agence
Frais élevés des produits et services,probléme d'envoyer pas les sms des opération a téléphone
Attente en agence,la cliente souhaite d'ajouter un autre emplacement dans le pause déjeuner
Service en agence,probléme de transfert
Service en agence,prélèvement non justifiée
Application Mobile/Ch.net,le client réclame qu'il doit être plusieurs des agents dans l'agence     probléme d'envoyer pas les sms des opération a téléphone
Service en agence,"le client réclame qu'il doit être plusieurs des agents dans , la disponibilité des agents dans l'agence tous les moments  l'agence"
Attente en agence,le client réclame qu'il doit être plusieurs des agents dans l'agence
Service en agence,manque les a agence dans les petite ville
Problèmes Gab,amélioration de crc
Service en agence,le client réclame qu'il doit être plusieurs des agents dans l'agence
Service en agence,manque les agence
Service en agence,guiche automatique
Problèmes Gab,retard de virement de salaire - manque des agences
Problèmes Gab,le client souhaite d'ajouter une guichet automatique pour le versement
Frais élevés des produits et services,prélèvement non justifiée
Service en agence,le client jaime envoyer les relevé bancaire dans l'adresse
Service en agence,prélèvement non justifiée
Frais élevés des produits et services,le client réclame qu'il doit être plusieurs des agents dans l'agence
Service en agence,manque l'agence
Problèmes Gab,améliorer le service des sms
Service en agence,retard de traitement
Problèmes Gab,manque de gab
Service en agence,le système d'information  n'est pas à jour
Service en agence,améliorer le service des sms
Service en agence,améliorer le service des sms
Problèmes Gab,le client souhaite un gab dans l'agence
Frais élevés des produits et services,retard de traitement
Problèmes Gab,le client souhaite d'ajouter un guichet automatique pour le versement
Application Mobile/Ch.net,la rapidité des services
Attente en agence,manque d'agence
Problèmes Gab,manque de gab
Service en agence,retard de traitement
Service en agence,ajouter googlepay
Service en agence,manque de personnel
Service en agence,le client réclame que ses demandes ne sont pas traités au niveau d'autres agences appart son agence habituelle
Service en agence,le client souhait une carte banquaire des achats en ligne
"Améliorer l'offre crédit(taux,process,time)",mieux communiquer avec le client
Application Mobile/Ch.net,retard de traitement
Service en agence,retard de traitement
Service en agence,retard de traitement
Application Mobile/Ch.net,améliorer les applications mobile
Application Mobile/Ch.net,améliorer le système informatique de la banque
Application Mobile/Ch.net,prob de virement
Service en agence,rajouter plus dagents
Service en agence,rajouter plus dagences de la banque populaire
Service en agence,le bon accueil et ne pas laisser le client dehors
Application Mobile/Ch.net,ameliorer opération des virement
Problèmes Gab,rajouter plus d'agences
Service en agence,avoir un service rapide dans le cas d'urgence
Service en agence,améliorer le système de réseau au niveau de l'agence
Problèmes Gab,avoir la possibilité davoir un gab  au niveau des sosieté de travail afin que les agents puissent lutulisé
Service en agence,avoir la possibilité davoir un credit sans interets
Application Mobile/Ch.net,centre de formation pour le client pour apprendre a manipuler sur lapplication mobile
Application Mobile/Ch.net,le télépaiement ne doit pas etre bloqué
Service en agence,la possibilité davoir le salaire juste apres que la sossieté le depose au niveau de la banue
Service en agence,la rapidité de traiter les demandes des clients
Service en agence,un service en permanence aux weekend
Service en agence,la rapidité des traiter les demandes des clients
Service en agence,la possibiliter davoir tirer 5000 dh par jour via la carte
Application Mobile/Ch.net,la mis a jour de lapplication
Service en agence,rapidité au niveau des service des virements
Attente en agence,la rapidité des services
Frais élevés des produits et services,",virement en retard"
Frais élevés des produits et services,le taux d'intérêt élevé
Service en agence,comme la cliente est une femme agé elle prefere de laisse son fils  lui faire tous les services au niveau de la banque et de ne pas avoir des difficulté paraport a cette situation
Problèmes Gab,rajouter plus de guichet
Service en agence,la facilité denvoyer de laergent du maroc  a l'europe
Application Mobile/Ch.net,la mis a jour de l'application
Service en agence,RAS
Service en agence,traiter les demandes clients rapidement
Application Mobile/Ch.net,la mis a jour de lapplication
Service en agence,la rapidité de traiter les demandes des clients
Service en agence,traiter les demande clients
Service en agence,avoir de nouveau partenaires
Service en agence,avoir un relevé banquaire semsetrielle ou bien annuelle
Service en agence,un bon accueil
Attente en agence,rajouter plus d'agents au niveau de l'agence
Service en agence,la digitalisation
Attente en agence,rajouter plus dagents au niveau de lagence
Attente en agence,rajouter plus dagents
Service en agence,recevoir des notification du compte sur le watsup
Service en agence,ameliorer le systheme de reseau de l'agence
Problèmes Gab,la possibilité de retirer 50 dh du guichet
Service en agence,avoir la possibilité de retirer plus 3000 dh en une seule fois
Service en agence,la transparence au niveau de service
Service en agence,avoir des aides de la pat de la banque
Attente en agence,rajouter plus dagents au niveau de lagence
Frais élevés des produits et services,la possibilité de retirer 4000 dh en une seul fois
Service en agence,avoir un credit dans interets
Service en agence,avoir le virementrapidement et ne pas terder le virement de salaire
Service en agence,l'amélioration au niveau de la technologie
Service en agence,avoir la possibilité de changer des ticket en argent a la banque
Attente en agence,rajouter dagents au niveau delagence
Service en agence,avoir la possibilité de retirer plus de 20 millions
Service en agence,ne pas accepter la demande de cloturation de compte
Service en agence,continuer a contacter les clients et les sensibiliser et leurs donner des conseils et du nouveau
Problèmes Gab,proteger les guichets du soleil
Problèmes Gab,rajouter plus de guichets
Problèmes Gab,augmenté le plafon
Service en agence,retard de virement
Service en agence,facilité les  services pour les gents de 60 ans et plus
Service en agence,ameliorer l'accueil
Service en agence,la degitalisation et l'amélioration du service pour traiter rapidement les demandes des clients
Service en agence,arreter lenvoie des letrres a l'adresse de la cliente
Service en agence,manque de communication
Service en agence,activer le paiement via le telephone
Frais élevés des produits et services,activer les notification pour n'importe service
Service en agence,le bon traitement avec ls retraités
Service en agence,avoir un service de sondage anonym via des machines
Service en agence,partager les nouvelles offres
Frais élevés des produits et services,rajouter plus d'agences
Application Mobile/Ch.net,retard de mise a jour
Service en agence,ne pas recevoir des lettres personnels  a ladresse ancienne
Service en agence,recruter des agents bien former et respectueux
Frais élevés des produits et services,donner des cadeaux au clients fidèle
Service en agence,améliorer le traitement des agents de l'agence
Service en agence,rajouter plus d'agence pour traiter rapidement les demandes des clients
Application Mobile/Ch.net,retard de mise à jour
Service en agence,la rapidité des services (les virements)
Service en agence,améliorer le logiciel
Problèmes Gab,rajouter plus de gab
Service en agence,rajouter un service spéciale  a la femme
Problèmes Gab,rajouter plus de guichets
Service en agence,améliorer le système de réseau dans l'agence
Service en agence,traiter la demande de client  dans nimporte quelle agence
Application Mobile/Ch.net,la mis a jour au niveau de l'application
Service en agence,rajouter plus dagence prés de ladresse de la cliente
Problèmes Gab,prob de guichets
"Améliorer l'offre crédit(taux,process,time)",améliorer les offres de crédit pour les jeunes
Frais élevés des produits et services,rendre la banque plus avantagieuse que les autres banques
Problèmes Gab,avoir des facilités et diminuer les frais des services
Problèmes Gab,les guichets automatiques
Application Mobile/Ch.net,prélèvements injustifié
Service en agence,les cartes monétiques
Application Mobile/Ch.net,le retard des virements
Problèmes Gab,gab
Problèmes Gab,gab
Application Mobile/Ch.net,ajouter des marchands au niveau de chaabi net (oncf)
Attente en agence,manque de personnel au niveau de l'agence
Problèmes Gab,"problème des gabs, la proximité des agences et guichets"
Application Mobile/Ch.net,paiement à l'internationale
Service en agence,"retard du dossier de renouvelement de credit, manque de respect au niveau du personnel"
Application Mobile/Ch.net,prélèvements
Problèmes Gab,prb guichet automatique
Attente en agence,prélèvements
Service en agence,le client réclame un comportement inapproprié du personnel de l’agence
Application Mobile/Ch.net,faire une application pour les comptes société
Application Mobile/Ch.net,chaabi mobile 
Problèmes Gab,services gab
Application Mobile/Ch.net,les prélèvements injustifié
Service en agence,prélèvements
Application Mobile/Ch.net,pocket bank/ chaabi net
Problèmes Gab,prb guichet automatique
Application Mobile/Ch.net,application
Application Mobile/Ch.net,amelioration au niveau des paiements par carte
Application Mobile/Ch.net,"beaucoup de prelevement, soucis d'affichage an niveau de pocket bank"
Application Mobile/Ch.net,l'affichage de l'historique instantané et virement instantané
Application Mobile/Ch.net,et les prélèvements
Service en agence,le client réclame un comportement inapproprié du personnels de l'agence
Service en agence,disponibilité a l'accueil en agence
Attente en agence,les prélèvements
Service en agence,comportement agence
Service en agence,"manque de personnel,"
Attente en agence,crc
Application Mobile/Ch.net,prélèvements injustifiée
Application Mobile/Ch.net,difficultés des
Problèmes Gab,et l'alimentation du gab doit être a bonheur
Application Mobile/Ch.net,+soucis de systeme au niveau d'agence
Problèmes Gab,et gab 
Service en agence,prélèvements injustifiés
Service en agence,manque de personnel
Problèmes Gab,gab
Application Mobile/Ch.net,service d'agence
Application Mobile/Ch.net,"beaucoup de prélèvement , soucis de gab, la mise a jour au niveau de pocket bank"
Application Mobile/Ch.net,soucis de réseaux au niveau de l'agence
Service en agence,le comportement des personnels de l'agence
Problèmes Gab,soucis  au niveau du guichet
Frais élevés des produits et services,manque des agences
Problèmes Gab,soucis de gab
Application Mobile/Ch.net,"services gab, chaabi net"
Application Mobile/Ch.net,beaucoup de prelevement
Service en agence,virement gratuit d'une banque à une autre
Service en agence,rapidité des opérations dans l'agence
Application Mobile/Ch.net,retard des notifications
Service en agence,problème d'effectiffes
"Améliorer l'offre crédit(taux,process,time)",intérêts élevé
Attente en agence,manque de personnel
Service en agence,retard de traitement
Problèmes Gab,modification de plafon de retrait de gab à plus de 5000dh
Service en agence,problème de serveur
"Améliorer l'offre crédit(taux,process,time)",les intérêts élevé
Application Mobile/Ch.net,nombreuse notifications
Service en agence,les tickets
Application Mobile/Ch.net,ajouté les informations des crédits
Application Mobile/Ch.net,problème au niveau d'application
Service en agence,ajouté les opérations avec l'internationnal
Service en agence,retard des virements
"Améliorer l'offre crédit(taux,process,time)",taux des crédits élevé
Application Mobile/Ch.net,problème d'actualisation d'application
Attente en agence,maque des agents dans l'agence
"Améliorer l'offre crédit(taux,process,time)",retard d'acceptation de crédit
Frais élevés des produits et services,les prelevement elevee
Service en agence,manque des informations en agence
Service en agence,l'agence ne repont pas au appel
Application Mobile/Ch.net,retard de notification
Problèmes Gab,augmentation de plafan
Attente en agence,probleme au niveau d'assurance
Application Mobile/Ch.net,mise à jour
Application Mobile/Ch.net,probléme d'application  au niveau de changement d'agence
Service en agence,changement de compte d'agence a une autre
Application Mobile/Ch.net,developpement d'application
Service en agence,les prelevement elevee . pas de communication avec l'agence
Service en agence,changement de personnelle
Application Mobile/Ch.net,developpement d'application
Service en agence,les agents non compétents
Frais élevés des produits et services,les prelevment elvee
Application Mobile/Ch.net,amelioration au niveau d'application
Attente en agence,manque des agences
Problèmes Gab,augmentation de plafan à 5000dh
Frais élevés des produits et services,les prelevement elevee
Application Mobile/Ch.net,developpement au niveaux d'application
Application Mobile/Ch.net,developpement au niveau d'application
Frais élevés des produits et services,les prelevement  elevee
Application Mobile/Ch.net,probleme au niveau de systeme
Service en agence,pas de communication  avec le client
Frais élevés des produits et services,les prelevements
Problèmes Gab,periode des vacances
Service en agence,pas de communications aves le client
Application Mobile/Ch.net,n'est pas reçus le code d'application
Service en agence,pas d'overture d'un autre compte (associations)
Service en agence,les prelevement d'assurance meme si le client n'accepte pas l'offre d'assurance
Application Mobile/Ch.net,probleme au niveaux d'application
Service en agence,probleme au niveau de communication
Application Mobile/Ch.net,developpement  au niveau d'application
Service en agence,paiment par telephone  directement
Frais élevés des produits et services,les prelevements elevee
"Améliorer l'offre crédit(taux,process,time)",ajouter des packs
Service en agence,demande plus d'information et les details
Frais élevés des produits et services,les prelevement  non justifier
Problèmes Gab,au niveau de reseaux
Frais élevés des produits et services,les prelevement elevee
Problèmes Gab,samedi et dimanche
Problèmes Gab,la fin du mois
Application Mobile/Ch.net,les operations sont reçus en retard
Application Mobile/Ch.net,developpement au niveau d'application
Service en agence,les prelevement elelves
Application Mobile/Ch.net,les opperation reçus en  retard
Problèmes Gab,problème de réseaux
Service en agence,retard d'un mois pour une nouvelle carte  ( sans demande)
Service en agence,les agents non sérviable
Frais élevés des produits et services,les prelevements eleves
Application Mobile/Ch.net,la mise à jours d'application
Problèmes Gab,dans sles weekend la non disponibilité des gab
Service en agence,changement d'agence 
"Améliorer l'offre crédit(taux,process,time)",diminuer le taux d'intérêts
Application Mobile/Ch.net,dotation  . facilite de changements d'agence
"Améliorer l'offre crédit(taux,process,time)",diminuer les taux des credits
Application Mobile/Ch.net,les operation  sont reçus en retard ( developpement d'application)
Frais élevés des produits et services,les prelevement  eleves
Service en agence,problème de système
Application Mobile/Ch.net,amélioration au niveau d'application
Application Mobile/Ch.net,developpement d'application au niveau de securite
Application Mobile/Ch.net,developpement au niveau d'application
Problèmes Gab,jours ferier
Service en agence,mauvais service
Problèmes Gab,samedi et dimanche
Problèmes Gab,les retrai
Application Mobile/Ch.net,effectuer toutes les opérations par téléphone
Service en agence,la non acceptation de prolongement de la durée de crédit
Service en agence,appel payes
Application Mobile/Ch.net,probleme de conexion ( les prelevement 2 fois ou plus )
Problèmes Gab,pas de reçu
Problèmes Gab,samedi et dimanche
Service en agence,une seule carte compris l'offre international  normal 
Problèmes Gab,les frais eleves+ probleme gab
Problèmes Gab,augmentation au niveau de plafond
Application Mobile/Ch.net,retard de mise à jour
Attente en agence,parfois
Service en agence,le choix  de choisir les packs
Application Mobile/Ch.net,les opération sont reçus en retard
Application Mobile/Ch.net,les opérations sont reçus en retard
Frais élevés des produits et services,les prelevements eleves
Problèmes Gab,samedi et dimanche
Problèmes Gab,les jours feries
Problèmes Gab,manque des gab
Problèmes Gab,manques des gab dans les weekend
Problèmes Gab,dans les weekend
Application Mobile/Ch.net,probleme au niveau d'application
Problèmes Gab,samedi et dimanche
Application Mobile/Ch.net,retard de mise a jour
Service en agence,mauvaise  service  en agence
Problèmes Gab,prend beaucoup du temps
Service en agence,rien a signalée
Service en agence,l'accès de connecter avec paypal
Service en agence,service client dans n'importe quelle agence sans recourir à la premier agence
Service en agence,+ de pack avec moins de frais pour les jeunes et les femmes aussi pour les crédits
Application Mobile/Ch.net,annuler les commissions des paiements
Service en agence,retard de traitement. / les personnels
Service en agence,+ les packs proposés aux jeunes ne sont pas assez intéressants + les taux de crédits immo doivent être plus compétitifs
Service en agence,système
Service en agence,agence injoignable
Application Mobile/Ch.net,retard des opérations
Attente en agence,augmentation au niveau prélèvement /comportement agence/
Service en agence,les client souhaite un changement par rapport au shifts en agence ( fermeture à 17h)
Application Mobile/Ch.net,l'affectif de personnel au niveau de l'agence / retard de comptabilisation/ amélioration au niveau de pocket bank
Attente en agence,augmentation du nombre de l'effectif à l'agence / la durée de traitement du dossiers des crédits
Problèmes Gab,facilité au niveau de l'accord  de crédit
Service en agence,facilité la procédure des crédits
Problèmes Gab,les guichet automatique vide
Application Mobile/Ch.net,et le service de l'agence
Application Mobile/Ch.net,le relationnel
Application Mobile/Ch.net,les frais. / les frais de paiement des factures one sur l'application
Service en agence,commission / frais
Attente en agence,la cliente souhaite cloture son compte
Problèmes Gab,tout est bien
Application Mobile/Ch.net,la comptabilisation instantanée
Frais élevés des produits et services,l'accueil en agence / prendre en considération les clients qui ont des soucis de compréhension
Attente en agence,système toujours ko au niveau de l'agence
Application Mobile/Ch.net,+ retard de virement
Application Mobile/Ch.net,retard de la comptabilisation + affichage d'historique a jour
Service en agence,communication des informations
Application Mobile/Ch.net,ajouter le paiement internationale
Service en agence,les prélèvement
Attente en agence,+ retard de virement
Service en agence,avoir toute les informatons avant de
Service en agence,ouverture de compte
Service en agence,fluidité et rapidité des agents
Service en agence,les prélèvements injustifié
Service en agence,"personnel en agence ,"
Service en agence,comportement personnel
Service en agence,comportement agence
Service en agence,+facilité des crédits
Problèmes Gab,améliorer le si de la banque populaire
Application Mobile/Ch.net,les délais de virement pour une banque confrère   (instantanément)
Service en agence,panne système
Service en agence,mutation de compte
